customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value
4001,Chickie,Brister,Male,86,7/12/1957,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,1.03,1.2875,1.609375,1.36796875,1,1,1.71875
4002,Morly,Genery,Male,69,3/22/1970,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11,0.59,0.59,0.7375,0.626875,1,1,1.71875
4003,Ardelis,Forrester,Female,10,8/28/1974,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5,0.58,0.58,0.58,0.58,1,1,1.71875
4004,Lucine,Stutt,Female,64,1/28/1979,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1,0.68,0.85,0.85,0.85,4,4,1.703125
4005,Melinda,Hadlee,Female,34,9/21/1965,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9,0.93,0.93,1.1625,1.1625,4,4,1.703125
4006,Druci,Brandli,Female,39,4/29/1951,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,0.63,0.7875,0.7875,0.7875,6,6,1.671875
4007,Rutledge,Hallt,Male,23,10/6/1976,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7,0.77,0.77,0.77,0.6545,6,6,1.671875
4008,Nancie,Vian,Female,74,12/27/1972,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5,1.01,1.2625,1.2625,1.073125,8,8,1.65625
4009,Duff,Karlowicz,Male,50,4/28/1972,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10,0.84,1.05,1.3125,1.115625,8,8,1.65625
4010,Barthel,Docket,Male,72,8/2/1985,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5,0.69,0.8625,0.8625,0.733125,10,10,1.640625
4011,Rockwell,Matson,Male,94,1/1/1995,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,0.56,0.56,0.7,0.7,10,10,1.640625
4012,Wheeler,Winward,Male,48,8/30/1999,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,0.8,0.8,0.8,0.68,12,12,1.625
4013,Olag,,Male,60,5/13/1990,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,1.01,1.01,1.2625,1.073125,13,13,1.609375
4014,Melba,Spellacy,Female,38,12/9/1976,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,0.45,0.45,0.5625,0.478125,14,14,1.59375
4015,Mandie,Feares,Female,32,4/19/1964,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,0.85,0.85,0.85,0.7225,14,14,1.59375
4016,Dukie,Swire,Male,88,3/31/1954,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,0.81,1.0125,1.265625,1.265625,16,16,1.5625
4017,Marcelia,Monkleigh,Female,61,8/22/1993,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,0.75,0.9375,0.9375,0.796875,17,17,1.546875
4018,Winnifred,Beswetherick,Female,83,6/8/1976,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,0.53,0.53,0.6625,0.563125,17,17,1.546875
4019,Odilia,Quick,Female,65,11/9/1938,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,0.99,1.2375,1.546875,1.546875,19,19,1.53125
4020,Karly,Willavize,Female,2,8/12/1954,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,0.66,0.66,0.825,0.825,19,19,1.53125
4021,Teddie,Burchill,Male,11,12/21/1968,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,0.72,0.9,1.125,0.95625,21,21,1.515625
4022,Gaston,Dallaghan,Male,44,9/29/1993,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,0.94,1.175,1.175,0.99875,21,21,1.515625
4023,Otis,Ottey,Male,26,2/5/1998,Quality Engineer,n/a,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,1.1,1.1,1.1,0.935,23,23,1.5
4024,Tabbatha,Averill,Female,5,12/17/1977,Quality Control Specialist,n/a,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,0.59,0.7375,0.7375,0.7375,23,23,1.5
4025,Brena,Schnitter,Female,78,10/11/1982,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,0.62,0.62,0.62,0.527,25,25,1.484375
4026,Rourke,Gillbard,Male,11,8/3/1945,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,0.55,0.55,0.55,0.4675,26,26,1.46875
4027,Dyane,Burwell,Female,19,6/27/1952,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,0.96,1.2,1.2,1.02,26,26,1.46875
4028,Claudine,Barstowk,Female,71,7/20/1966,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,1.03,1.2875,1.609375,1.609375,26,26,1.46875
4029,Blinnie,Roze,Female,84,12/10/1960,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,0.43,0.43,0.5375,0.5375,26,26,1.46875
4030,Rhona,De Freyne,Female,45,11/22/1960,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,0.78,0.78,0.975,0.975,30,30,1.4609375
4031,Sharron,Claibourn,Female,62,1/26/1980,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,0.79,0.9875,0.9875,0.9875,30,30,1.4609375
4032,Brien,Heaton,Male,70,11/28/1951,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,0.54,0.675,0.675,0.57375,32,32,1.453125
4033,Sybilla,MacCart,Female,88,1/15/1987,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,0.97,1.2125,1.515625,1.28828125,32,32,1.453125
4034,Mikel,McNess,Male,71,9/22/1981,Nurse,n/a,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,0.72,0.72,0.9,0.765,32,32,1.453125
4035,Maisie,Maddox,Female,27,5/9/1977,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,0.73,0.73,0.9125,0.9125,32,32,1.453125
4036,Arleen,Casbolt,Female,48,5/10/1975,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,0.95,1.1875,1.1875,1.1875,36,36,1.44765625
4037,Farlie,Petford,Male,76,3/25/1968,Recruiting Manager,n/a,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,0.8,0.8,1,1,36,36,1.44765625
4038,Mitchell,MacCague,Male,58,4/11/1979,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,0.98,0.98,0.98,0.833,38,38,1.4375
4039,Garik,Whitwell,Male,44,6/13/1955,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,0.71,0.8875,0.8875,0.754375,38,38,1.4375
4040,Antonin,Britt,Male,64,8/28/1993,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,0.45,0.5625,0.703125,0.703125,40,40,1.434375
4041,Vinny,Incogna,Female,73,2/13/1953,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,0.48,0.48,0.48,0.48,40,40,1.434375
4042,Colene,Fishleigh,Female,24,3/14/1985,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,0.99,0.99,1.2375,1.051875,42,42,1.421875
4043,Neile,Argent,Female,79,10/25/1946,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,0.6,0.6,0.75,0.6375,42,42,1.421875
4044,Corinna,Suggey,Female,52,9/18/1966,Design Engineer,n/a,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,0.98,0.98,0.98,0.98,44,44,1.42109375
4045,Brooke,Arling,Male,76,12/5/1961,,n/a,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,0.66,0.66,0.66,0.66,44,44,1.42109375
4046,Gipsy,Ewestace,Female,29,8/30/1956,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,0.54,0.675,0.84375,0.84375,46,46,1.4078125
4047,Sheena,Kybbye,Female,14,7/16/1956,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,0.71,0.8875,0.8875,0.8875,46,46,1.4078125
4048,Jobina,Gobourn,Female,85,12/4/1994,VP Quality Control,n/a,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,1.06,1.325,1.65625,1.65625,46,46,1.4078125
4049,Gale,Disbrow,Female,59,5/14/1977,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,0.8,1,1,0.85,46,46,1.4078125
4050,Thaxter,Kingsbury,Male,12,5/3/1950,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,0.44,0.44,0.55,0.4675,50,50,1.40625
4051,Heinrick,Shilstone,Male,60,2/11/1978,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,0.52,0.52,0.52,0.52,50,50,1.40625
